All,Todos
"Edit Account Information","Editar información de la cuenta"
"Password forgotten","Recordatorio de contraseña"
"My Dashboard","Mi panel de control"
"You are signed out","Has cerrado la sesión"
"You subscribe to our newsletter.","Usted se suscribe a nuestro boletín de noticias."
"You don't subscribe to our newsletter.","No está suscribiendose a nuestro boletín de noticias."
"Maximum length must be less then %1 symbols","La longitud máxima debe ser menor qué %1 símbolos"
"Invalid input","Entrada no válida"
"Confirm your new password.","Confirme su nueva contraseña."
"Something went wrong while changing the password.","Algo salió mal al cambiar la contraseña."
"Please enter the first name.","Introduzca el nombre."
"Please enter the last name.","Introduzca el apellido."
"Please enter the street.","Por favor, introduzca la calle."
"Please enter the city.","Por favor, introduzca la ciudad."
"Please enter the phone number.","Por favor, introduzca el número de teléfono."
"Please enter the zip/postal code.","Por favor, introduzca el código postal."
"Please enter the country.","Por favor, ingrese el país."
"Please enter a first name.","Por favor, introduzca un nombre."
"Please enter a last name.","Por favor, ingrese un apellido."
"Please correct this email address: ""%1"".","Por favor correge esta dirección de correo electrónico: ""%1""."
"Please enter a date of birth.","Por favor introduzca una fecha de nacimiento."
"Please enter a TAX/VAT number.","Especifique un número TAX/VAT."
"Please enter a gender.","Introduce un género."
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' parece ser un nombre de host DNS, pero no podemos igualar el TLD contra lista conocida."
"You subscribe to ""General Subscription"".","Usted se suscribe a ""Suscripción General""."
"The password for your account has been successfully changed.","La contraseña de su cuenta se ha cambiado correctamente."
"If you did not request this change, please contact us.","Si usted no ha solicitado este cambio, por favor, póngase en contacto con nosotros."
"Checkout out as a new customer","Realice el pedido como un cliente nuevo"
"Create Account","Crear cuenta"
"Checkout out using your account","Efectuar compra utilizando su cuenta"
"Leave empty for default (2). Valid range: 1-4","Dejar en blanco por defecto (2). Rango válido: 1-4"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Punto y coma (;) valores separados. <br/> Ponga punto y coma al principio para la primera opción vacía. <br/> Déjelo vacío para el campo de texto abierto."
"Last Logged In","Zuletzt angemeldet"
"You are signed out.","Has cerrado la sesión."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values are %template1 or %template2.","Valor no válido de ""%value"" para el campo %fieldName. Valores posibles: %template1 o %template2."
"Could not authenticate. Please try again later","No se pudo autenticar. Por favor, inténtalo más tarde"
"Account will be unlocked after provided time.","La cuenta será desbloqueada después del tiempo proporcionado."
"Text One Line","Texto en una línea"
"The password doesn't match this account. Verify the password and try again.","La contraseña no coincide con esta cuenta. Verifique la contraseña y vuelva a intentarlo."
"The email address is incorrect. Verify the email address and try again.","La dirección de correo electrónico es incorrecta. Verificar la dirección de correo electrónico y vuelva a intentarlo."
"The customer ID isn't defined.","No se ha establecido la Id. del cliente."
"The quote items are incorrect. Verify the quote items and try again.","La productos no se encuentran. Verificar e intentar de nuevo."
"The ""%1"" section source isn't supported.","La fuente de la sección de ""%1"" no es compatible."
"Confirmation isn't needed.","No es necesaria confirmación."
"The account is already active.","Cuenta ya activa."
"The confirmation token is invalid. Verify the token and try again.","El token de confirmación no es válido. Verifique el token y vuelva a intentarlo."
"This account isn't confirmed. Verify and try again.","Esta cuenta no está confirmada. Verifique y vuelve a intentarlo."
"The password needs at least %1 characters. Create a new password and try again.","La contraseña necesita al menos %1 caracteres. Crear una nueva contraseña y vuelva a intentarlo."
"The password can't begin or end with a space. Verify the password and try again.","La contraseña no puede comenzar o terminar con un espacio. Verifique la contraseña y vuelva a intentarlo."
"The password can't be the same as the email address. Create a new password and try again.","La contraseña no puede ser la misma que la dirección de correo electrónico. Crear una nueva contraseña y vuelva a intentarlo."
"The store view is not in the associated website.","La vista de tienda no está en el sitio web asociado."
"A customer with the same email address already exists in an associated website.","Ya existe un cliente con la misma dirección de correo electrónico en un sitio web asociado."
"The password token is mismatched. Reset and try again.","La contraseña no coincide. Pruebe de nuevo."
"The password token is expired. Reset and try again.","La contraseña ha expirado. Reseteala y pruebe de nuevo."
"The transactional account email type is incorrect. Verify and try again.","El email de la cuenta de transferencia es incorrecto. Compruebe e intente de nuevo."
"A valid password reset token is missing. Enter and try again.","La contraseña de reinicio no se encuentra. Introduce y prueba de nuevo."
"The customer email is missing. Enter and try again.","El email del cliente no se encuentra. Introduce y prueba de nuevo."
"A customer website ID wasn't specified. The ID must be specified to use the website scope.","El sitio web del cliente no se ha especificado. Debe especificarse para usar el website scope."
"""regionId"" is required. Enter and try again.","Se requiere ""regionld"". Introducelo y prueba de nuevo."
"Customer not logged in","Cliente no registrado"
"There is no address id in setting default billing address.","No hay ningún identificador de dirección para establecer la dirección de facturación por defecto."
"Default billing address has been changed.","La dirección de facturación predeterminada ha sido cambiada."
"We can't change default billing address right now.","No podemos cambiar la dirección de facturación del cliente en estos momentos."
"There is no address id in setting default shipping address.","No hay ningún identificador de dirección para establecer la dirección por defecto."
"Default shipping address has been changed.","La dirección predeterminada ha sido cambiada."
"We can't change default shipping address right now.","No podemos cambiar la dirección de envío del cliente en estos momentos."
"There is no such address entity to delete.","No hay esa entidad de dirección para eliminar."
"We can't mass delete the addresses right now.","No se puede eliminar las direcciones en masa en este momento."
"Customer address has been updated.","La dirección del cliente se ha actualizado."
"New customer address has been added.","Se ha añadido una nueva dirección del cliente."
"There is no customer with such id.","No hay cliente con esa id."
"We can't change customer address right now.","No podemos cambiar la dirección del cliente en estos momentos."
Street,Calle
"Set as default billing","Establecer como facturación predeterminada"
"Set address as default billing","Establecer dirección como la de facturación predeterminada"
"Are you sure you want to set the address as default billing address?","¿Está seguro de que desea establecer la dirección de facturación por defecto?"
"Set as default shipping","Establecer como envío predeterminado"
"Set address as default shipping","Establecer dirección como la de envio predeterminada"
"Are you sure you want to set the address as default shipping address?","¿Está seguro de que desea establecer la dirección de envío por defecto?"
"Delete address","Borrar dirección"
"Are you sure you want to delete the address?","¿Realmente quiere borrar esta dirección?"
"Additional addresses","Direcciones adicionales"
State,"Comunidad Autónoma"
"Reset password","Restablecer contraseña"
"Invalidate tokens","Invalidar tokens"
"Update Address","Actualizar dirección"
"Name Prefix",Tratamiento
"Name Suffix","Sufijo del nombre"
"Are you sure to delete selected address?","¿Está seguro de borrar a las direcciones seleccionadas?"
"Are you sure you want to delete the selected customers?","¿Está seguro que desea eliminar los clientes seleccionados?"
